method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,kmeans,0.17565692243067677
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,kmeans,0.17565692243067677
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,kmeans,0.17752098930813928
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,spectral,0.13763829645074427
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,agglomerative,0.25055224267127546
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,hdbscan,0.2631763810184725
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,kmeans,0.16210205634050473
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,spectral,0.13763829645074427
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,agglomerative,0.2507894260554919
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,hdbscan,0.2663133604818173
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,gmm,0.17596222137943374
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,kmeans,0.17677116475222499
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,spectral,0.137199489765454
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,agglomerative,0.26082369424460156
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,hdbscan,0.26757505254419184
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,gmm,0.177415762144127
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,kmeans,0.17565692243067677
